bucket,n,predEdgePct,realEdgePct,gapPct,market,spec
3-5%,217,3.95512982521073,-4.881799185122669,8.8369290103334,pitcher_outs,gbm
5-7%,187,6.034299435697008,-4.052283760663265,10.086583196360273,pitcher_outs,gbm
7-10%,271,8.519069508289942,1.1955138232327907,7.323555685057151,pitcher_outs,gbm
10%+,995,19.312074014818627,0.212316952832786,19.09975706198584,pitcher_outs,gbm
<0%,1473,-2.9624389388304433,-3.9074612790011223,0.945022340170679,pitcher_outs,price
0-1%,222,0.5266658654638802,-5.864494875479209,6.391160740943089,pitcher_outs,price
1-2%,215,1.4789741546761668,-2.4730939650873087,3.9520681197634753,pitcher_outs,price
2-3%,179,2.477266946972027,-0.6059442787997765,3.083211225771804,pitcher_outs,price
3-5%,216,3.8947960984896994,4.656704533176482,-0.7619084346867826,pitcher_outs,price
5-7%,104,5.868216309447831,6.608595073823049,-0.740378764375218,pitcher_outs,price
7-10%,75,8.11820965328204,-1.4109348007091753,9.529144453991215,pitcher_outs,price
10%+,17,11.04017113149097,-32.7827982927957,43.82296942428667,pitcher_outs,price
<0%,963,-2.6983461982911217,-8.401688086039796,5.703341887748675,pitcher_outs,price+gbm+iso
0-1%,208,0.4721265841545367,-3.0273950459300654,3.499521630084602,pitcher_outs,price+gbm+iso
1-2%,185,1.4740513984096415,-15.62292198135538,17.09697337976502,pitcher_outs,price+gbm+iso
2-3%,161,2.4758801465911753,3.1057373190053728,-0.6298571724141975,pitcher_outs,price+gbm+iso
3-5%,309,4.003897154095112,-0.8392674315903098,4.843164585685422,pitcher_outs,price+gbm+iso
5-7%,235,5.92256491371772,1.3166523127758485,4.605912600941871,pitcher_outs,price+gbm+iso
7-10%,209,8.35647190004929,0.8296668028079681,7.526805097241321,pitcher_outs,price+gbm+iso
10%+,231,15.081683654424353,3.876592572409196,11.205091082015157,pitcher_outs,price+gbm+iso
<0%,4008,-3.014674561046976,-4.161120211762944,1.1464456507159686,batter_strikeouts,gbm
0-1%,659,0.5161438208078508,-3.8104084826627,4.32655230347055,batter_strikeouts,gbm
1-2%,594,1.4845503088306207,0.7729229037542649,0.7116274050763558,batter_strikeouts,gbm
2-3%,571,2.488018842386424,-3.9488609808858515,6.4368798232722755,batter_strikeouts,gbm
3-5%,1047,3.9727646082236436,1.3871330552581878,2.585631552965456,batter_strikeouts,gbm
5-7%,896,5.975125741133329,3.218358034926823,2.756767706206506,batter_strikeouts,gbm
7-10%,1039,8.398374168483414,3.8724737283352177,4.525900440148197,batter_strikeouts,gbm
10%+,1592,15.464366812911164,4.296682724430499,11.167684088480666,batter_strikeouts,gbm
<0%,421,-0.5255887293953797,13.508313539192415,-14.033902268587795,batter_strikeouts,price
0-1%,999,0.5754846013449337,-3.89804089804089,4.473525499385824,batter_strikeouts,price
1-2%,1970,1.5497902758604578,-1.30483090703973,2.8546211829001877,batter_strikeouts,price
2-3%,2910,2.519720312291773,-2.26712917856387,4.7868494908556425,batter_strikeouts,price
3-5%,3925,3.7332376535338025,2.0495199885227957,1.6837176650110068,batter_strikeouts,price
5-7%,168,5.454134388186939,-2.912422828040353,8.366557216227292,batter_strikeouts,price
7-10%,12,7.929331826971247,45.58213003511263,-37.65279820814138,batter_strikeouts,price
10%+,1,11.863430880280513,157.99999999999997,-146.13656911971947,batter_strikeouts,price
<0%,3994,-2.7552017214789037,-5.2931872051233855,2.5379854836444817,batter_strikeouts,price+gbm+iso
0-1%,845,0.5087738319401027,2.1695096462746677,-1.660735814334565,batter_strikeouts,price+gbm+iso
1-2%,838,1.498230709710357,2.9515928341287747,-1.4533621244184176,batter_strikeouts,price+gbm+iso
2-3%,769,2.4868061281193716,-1.9108906469442528,4.397696775063625,batter_strikeouts,price+gbm+iso
3-5%,1394,3.9673447966007065,7.341809147600714,-3.374464351000008,batter_strikeouts,price+gbm+iso
5-7%,1041,5.944106333274332,0.7412032999003405,5.202903033373992,batter_strikeouts,price+gbm+iso
7-10%,885,8.279595932801561,10.410850673089778,-2.1312547402882167,batter_strikeouts,price+gbm+iso
10%+,640,12.966735578115744,-1.2697191507207657,14.23645472883651,batter_strikeouts,price+gbm+iso
