spec,tau,minConf,selectPasses,selectUnits,selectN,nMembers
offset+iso,0.04,0,5,-141.1,30188,2
iso,0.0,55,5,-147.6,21470,1
iso,0.01,60,5,-150.7,14553,1
gbm+iso,0.01,0,5,-201.5,48979,2
price+iso,0.0,0,5,-201.6,52215,2
box+iso,0.0,0,5,-235.4,53524,2
offset+iso,0.0,0,5,-289.7,53341,2
gbm+iso,0.0,0,5,-364.2,54938,2
iso,0.02,0,5,-653.9,45775,1
box+gbm+offset,0.01,0,4,355.5,49534,3
price+box,0.01,0,4,350.8,49362,2
price+box+offset,0.0,0,4,200.2,57221,3
compact,0.02,60,4,140.2,7747,1
price+compact+offset,0.01,60,4,139.1,10767,3
compact+box+offset,0.01,55,4,137.7,18725,3
price+compact,0.01,60,4,134.9,10121,2
price+compact+box,0.01,60,4,131.8,10959,3
price+compact+offset,0.02,60,4,127.9,7508,3
price+compact+box,0.02,60,4,126.9,7691,3
price+compact+iso,0.04,55,4,120.3,6767,3
price+compact+gbm,0.04,60,4,116.5,4259,3
compact+offset+iso,0.04,60,4,110.0,6088,3
compact,0.01,60,4,104.6,10569,1
compact+offset+iso,0.01,60,4,97.0,11859,3
price+compact+iso,0.02,55,4,95.1,11802,3
compact+box+iso,0.04,60,4,93.2,6180,3
price+compact,0.0,0,4,92.4,61705,2
price,0.02,0,4,82.2,31697,1
box+gbm+iso,0.04,60,4,71.1,7698,3
compact,0.0,60,4,70.4,13662,1
price+compact+iso,0.02,60,4,69.0,7761,3
price+offset,0.0,0,4,68.0,58344,2
compact+box,0.0,55,4,65.7,21817,2
compact+iso,0.04,60,4,57.3,6132,2
price+box+iso,0.01,60,4,56.5,11862,3
compact+offset+iso,0.0,60,4,56.4,14276,3
gbm+iso,0.02,60,4,52.6,11640,2
compact+iso,0.02,60,4,51.5,9403,2
compact+box+iso,0.0,60,4,51.0,14465,3
price,0.04,0,4,50.7,11673,1
compact+box+iso,0.02,60,4,44.6,9749,3
price+offset+iso,0.01,60,4,39.4,11691,3
box+offset+iso,0.02,60,4,31.1,11152,3
price+offset,0.01,55,4,25.5,17765,2
price+box,0.01,55,4,24.5,18225,2
price+offset+iso,0.04,60,4,22.7,5482,3
price,0.0,60,4,14.1,15264,1
price+iso,0.04,60,4,3.8,5473,2
price+box,0.0,0,4,1.7,58794,2
compact+iso,0.0,55,4,-1.7,19270,2
price,0.02,55,4,-11.6,10234,1
price+compact,0.0,60,4,-14.3,14100,2
price+iso,0.0,55,4,-31.4,19138,2
price,0.0,55,4,-66.3,21575,1
price+compact,0.0,55,4,-83.8,21292,2
iso,0.04,60,4,-126.0,9699,1
iso,0.0,60,4,-154.8,16407,1
iso,0.02,60,4,-157.7,12811,1
iso,0.04,0,4,-541.1,36184,1
iso,0.0,0,4,-1084.7,56787,1
price,0.01,0,3,287.4,48281,1
compact,0.04,60,3,118.1,4045,1
price+compact+iso,0.01,60,3,105.7,10269,3
price+compact,0.02,60,3,102.3,6637,2
price+compact+box,0.04,60,3,99.9,3569,3
price+compact+offset,0.04,60,3,95.6,3497,3
price+compact+iso,0.0,60,3,89.6,13313,3
compact+box+iso,0.01,60,3,78.9,12007,3
price+compact,0.04,55,3,76.8,5093,2
price+compact+iso,0.04,60,3,60.7,4345,3
compact+box+offset,0.0,55,3,58.9,22296,3
compact+iso,0.01,60,3,36.6,11489,2
price,0.01,60,3,35.9,10438,1
price,0.02,60,3,34.9,6548,1
compact+offset+iso,0.02,60,3,34.9,9610,3
compact+iso,0.0,60,3,-18.2,13726,2
price,0.01,55,3,-61.1,15665,1
price+box,0.0,55,3,-62.0,22772,2
gbm,0.02,0,3,-629.0,47704,1
gbm,0.01,0,3,-766.6,53570,1
gbm,0.0,0,3,-914.1,59176,1
iso,0.01,0,3,-940.0,51378,1
price,0.0,0,2,134.6,63650,1
price+compact,0.04,60,2,72.1,2898,2
price,0.04,55,2,-12.6,4296,1
price+offset,0.0,55,2,-77.1,22313,2
price,0.04,60,1,7.0,2132,1
